type,area_in_marla,bedroom,bath,location_city,price
House,20.0,6.0,7.0,Islamabad,116000000.0
Flat,4.7,1.0,1.0,Islamabad,56000000.0
Flat,6.9,3.0,3.0,Islamabad,20500000.0
House,20.0,5.0,7.0,Islamabad,129000000.0
House,4.0,4.0,4.0,Islamabad,40000000.0
House,20.0,6.0,7.0,Islamabad,135000000.0
House,20.0,6.0,6.0,Islamabad,145000000.0
House,20.0,6.0,6.0,Islamabad,115000000.0
House,20.0,6.0,6.0,Islamabad,125000000.0
House,24.0,7.0,6.0,Islamabad,210000000.0
House,40.0,6.0,6.0,Islamabad,360000000.0
House,10.0,7.0,6.0,Islamabad,57000000.0
House,5.0,6.0,6.0,Islamabad,24000000.0
House,10.5,6.0,6.0,Islamabad,60000000.0
Flat,2.3,1.0,1.0,Islamabad,7500000.0
House,4.4,4.0,5.0,Islamabad,39000000.0
House,6.7,5.0,5.0,Islamabad,27000000.0
House,20.0,5.0,6.0,Islamabad,115000000.0
House,12.0,8.0,6.0,Islamabad,107000000.0
Flat,9.8,2.0,2.0,Islamabad,12500000.0
House,20.0,6.0,6.0,Islamabad,115000000.0
House,5.0,3.0,4.0,Islamabad,19000000.0
House,7.0,4.0,5.0,Islamabad,43500000.0
House,8.0,6.0,6.0,Islamabad,44000000.0
House,7.0,5.0,7.0,Islamabad,55000000.0
House,5.0,3.0,4.0,Islamabad,25500000.0
House,8.0,5.0,6.0,Islamabad,38500000.0
House,20.0,7.0,6.0,Islamabad,190000000.0
House,20.0,5.0,6.0,Islamabad,95000000.0
House,5.0,4.0,4.0,Islamabad,21500000.0
Flat,3.0,2.0,2.0,Islamabad,6000000.0
House,7.0,5.0,5.0,Islamabad,31000000.0
House,5.0,4.0,5.0,Islamabad,38500000.0
House,8.0,6.0,6.0,Islamabad,38000000.0
Flat,2.9,1.0,1.0,Islamabad,10600000.0
House,26.0,9.0,6.0,Islamabad,325000000.0
House,14.2,6.0,6.0,Islamabad,54000000.0
House,5.0,4.0,5.0,Islamabad,22000000.0
House,12.0,8.0,7.0,Islamabad,48000000.0
Flat,8.7,3.0,3.0,Islamabad,67000000.0
House,14.2,8.0,6.0,Islamabad,230000000.0
Other,120.0,6.0,6.0,Islamabad,400000000.0
Flat,4.8,1.0,2.0,Islamabad,11500000.0
House,6.0,5.0,5.0,Islamabad,29500000.0
Flat,3.2,1.0,1.0,Islamabad,25700000.0
House,20.0,7.0,6.0,Islamabad,93000000.0
House,10.0,6.0,6.0,Islamabad,40000000.0
Flat,6.0,2.0,2.0,Islamabad,52000000.0
House,10.0,6.0,6.0,Islamabad,37500000.0
House,8.0,4.0,6.0,Islamabad,29000000.0
House,20.0,7.0,6.0,Islamabad,113500000.0
House,16.0,4.0,5.0,Islamabad,135000000.0
House,20.0,5.0,6.0,Islamabad,145000000.0
Other,8.0,2.0,2.0,Islamabad,7800000.0
House,6.0,5.0,6.0,Islamabad,30000000.0
House,14.2,6.0,6.0,Islamabad,44500000.0
House,6.0,4.0,3.0,Islamabad,22500000.0
House,10.7,6.0,6.0,Islamabad,77000000.0
House,8.0,6.0,6.0,Islamabad,37000000.0
House,12.0,5.0,6.0,Islamabad,57000000.0
Flat,12.0,3.0,4.0,Islamabad,29500000.0
House,20.0,6.0,7.0,Islamabad,56000000.0
Flat,4.0,2.0,2.0,Islamabad,6400000.0
Flat,2.0,1.0,1.0,Islamabad,4800000.0
Flat,7.5,3.0,3.0,Islamabad,14000000.0
House,20.0,6.0,6.0,Islamabad,190000000.0
Flat,3.5,1.0,1.0,Islamabad,12400000.0
House,10.0,5.0,6.0,Islamabad,65000000.0
House,5.0,3.0,3.0,Islamabad,18000000.0
Flat,6.2,2.0,2.0,Islamabad,55500000.0
House,20.0,7.0,7.0,Islamabad,200000000.0
Flat,3.2,2.0,1.0,Islamabad,10700000.0
House,10.0,5.0,6.0,Islamabad,80000000.0
Flat,5.1,1.0,2.0,Islamabad,59000000.0
House,12.0,9.0,6.0,Islamabad,29000000.0
House,10.0,4.0,4.0,Islamabad,55000000.0
Other,80.0,2.0,2.0,Islamabad,125000000.0
Flat,3.5,1.0,1.0,Islamabad,3901000.0
House,20.0,6.0,7.0,Islamabad,100000000.0
Flat,7.1,2.0,2.0,Islamabad,31500000.0
House,14.0,6.0,6.0,Islamabad,85000000.0
House,8.0,5.0,5.0,Islamabad,38000000.0
House,9.0,5.0,5.0,Islamabad,75000000.0
House,20.0,5.0,5.0,Islamabad,150000000.0
House,5.0,3.0,4.0,Islamabad,21800000.0
House,14.2,5.0,5.0,Islamabad,54000000.0
House,8.0,5.0,5.0,Islamabad,37000000.0
Flat,4.7,1.0,1.0,Islamabad,56000000.0
House,5.0,3.0,4.0,Islamabad,26000000.0
House,40.0,7.0,6.0,Islamabad,900000000.0
House,4.0,5.0,5.0,Islamabad,41000000.0
House,14.2,6.0,6.0,Islamabad,60000000.0
House,14.2,6.0,6.0,Islamabad,54000000.0
Flat,2.5,2.0,1.0,Islamabad,8858000.0
House,4.0,4.0,4.0,Islamabad,50000000.0
House,20.0,5.0,6.0,Islamabad,285000000.0
House,10.9,6.0,6.0,Islamabad,82500000.0
House,8.0,5.0,5.0,Islamabad,36000000.0
House,8.0,5.0,5.0,Islamabad,43000000.0
Flat,3.9,1.0,1.0,Islamabad,14400000.0
Flat,2.1,1.0,1.0,Islamabad,5700000.0
House,20.0,6.0,6.0,Islamabad,72500000.0
House,10.0,5.0,6.0,Islamabad,50000000.0
Flat,2.5,1.0,1.0,Islamabad,6517000.0
House,14.0,8.0,7.0,Islamabad,49000000.0
House,9.0,5.0,5.0,Islamabad,42000000.0
Flat,20.0,4.0,5.0,Islamabad,90000000.0
Flat,12.4,3.0,3.0,Islamabad,70000000.0
House,14.2,6.0,6.0,Islamabad,143500000.0
House,5.0,4.0,6.0,Islamabad,16000000.0
House,5.0,5.0,5.0,Islamabad,46000000.0
House,9.0,7.0,6.0,Islamabad,37500000.0
House,26.0,6.0,6.0,Islamabad,210000000.0
House,20.0,11.0,7.0,Islamabad,39500000.0
House,10.0,5.0,6.0,Islamabad,49500000.0
House,10.0,6.0,6.0,Islamabad,45000000.0
House,20.0,8.0,7.0,Islamabad,163000000.0
Flat,7.1,2.0,2.0,Islamabad,32000000.0
